process_group,process_date,lot_number,wafer_number,n_samples,n_signals
Day_2024_08_01_Wafer_08,2024-08-01,6,8,3246,31
Day_2024_08_01_Wafer_09,2024-08-01,6,9,3245,31
Day_2024_08_01_Wafer_10,2024-08-01,6,10,3245,31
Day_2024_08_21_Wafer_01,2024-08-21,9,1,3245,31
Day_2024_08_21_Wafer_02,2024-08-21,9,2,3245,31
Day_2024_08_21_Wafer_03,2024-08-21,9,3,3246,31
Day_2024_08_21_Wafer_04,2024-08-21,9,4,3246,31
Day_2024_08_21_Wafer_05,2024-08-21,9,5,3246,31
Day_2024_08_21_Wafer_06,2024-08-21,9,6,3298,31
Day_2024_08_21_Wafer_07,2024-08-21,9,7,3246,31
Day_2024_08_21_Wafer_08,2024-08-21,9,8,3245,31
Day_2024_08_21_Wafer_09,2024-08-21,9,9,3193,31
Day_2024_08_21_Wafer_10,2024-08-21,9,10,3245,31
Day_2024_08_05_Wafer_01,2024-08-05,7,1,3245,31
Day_2024_08_05_Wafer_02,2024-08-05,7,2,3247,31
Day_2024_08_05_Wafer_03,2024-08-05,7,3,3299,31
Day_2024_08_05_Wafer_04,2024-08-05,7,4,3247,31
Day_2024_08_05_Wafer_05,2024-08-05,7,5,3247,31
Day_2024_08_05_Wafer_06,2024-08-05,7,6,3247,31
