feature_a,feature_b,correlation,abs_correlation
Pressure_mean,Pressure_std,-0.9913035586215113,0.9913035586215113
ForeLinePressure_std,PlatenRFPeakToPeak_std,0.9907930581601788,0.9907930581601788
PlatenRFLoadPower_std,PlatenRFPeakToPeak_std,0.9906440021906381,0.9906440021906381
PlatenRFLoadPower_mean,SourceRFPeakToPeak_mean,0.9898477113055368,0.9898477113055368
Gas5Flow_mean,SourceRFPeakToPeak_mean,0.9898307686664121,0.9898307686664121
Gas5Flow_std,SourceRFPeakToPeak_std,0.9893514800811671,0.9893514800811671
Heater4Temp_mean,Heater4Temp_min,0.9892637323686914,0.9892637323686914
Gas5Flow_mean,PlatenRFLoadPower_std,-0.9889445218845987,0.9889445218845987
Gas4Flow_mean,SourceRFPeakToPeak_mean,0.9889135605208353,0.9889135605208353
Heater4Temp_mean,Heater4Temp_max,0.9888611093336953,0.9888611093336953
PlatenRFPeakToPeak_std,SourceRFPeakToPeak_std,0.9887008130718218,0.9887008130718218
PlatenRFLoadCapacitor_std,SourceRFPeakToPeak_std,0.9885958665335474,0.9885958665335474
Gas4Flow_mean,PlatenRFLoadPower_std,-0.9884092434980205,0.9884092434980205
ForeLinePressure_std,SourceRFPeakToPeak_mean,-0.9881303719432961,0.9881303719432961
PlatenRFLoadPower_std,SourceRFPeakToPeak_std,0.988034851881355,0.988034851881355
PlatenRFPeakToPeak_std,SourceRFPeakToPeak_mean,-0.9878002618767164,0.9878002618767164
Gas5Flow_mean,Gas5Flow_std,-0.9874019153571232,0.9874019153571232
PlatenRFLoadPower_mean,PlatenRFLoadPower_std,-0.9869485579767721,0.9869485579767721
Gas1Flow_std,SourceRF2TuningCapacitor_std,0.9868971606398504,0.9868971606398504
Heater2Temp_mean,Heater2Temp_min,0.9868229537617743,0.9868229537617743
Gas5Flow_mean,SourceRFLoadPower_mean,0.9863235205623366,0.9863235205623366
Gas5Flow_std,PlatenRFLoadPower_mean,-0.9854722655663073,0.9854722655663073
PlatenRFLoadPower_mean,SourceRFLoadPower_mean,0.9850347307651538,0.9850347307651538
Gas4Flow_mean,SourceRFLoadPower_mean,0.9850143266981665,0.9850143266981665
Gas1Flow_std,SourceRFTuningCapacitor_std,0.9849833289046912,0.9849833289046912
PlatenRFReflectedPower_max,SourceRFReflectedPower_max,-0.9842874638477761,0.9842874638477761
Gas1Flow_mean,Gas1Flow_std,0.9839553254330984,0.9839553254330984
Gas1Flow_std,HeliumBPPressure_std,0.9839518753790701,0.9839518753790701
Gas1Flow_std,SourceRF2TuningCapacitor_mean,-0.9831910291923993,0.9831910291923993
Gas4Flow_mean,Gas5Flow_std,-0.9824535208279589,0.9824535208279589
Pressure_std,SourceRFTuningCapacitor_mean,0.9816473738812167,0.9816473738812167
ForeLinePressure_std,SourceRFLoadPower_std,0.9813777593596704,0.9813777593596704
Heater2Temp_mean,Heater2Temp_max,0.9812141175454531,0.9812141175454531
Gas1Flow_std,HeliumBPPressure_mean,-0.9802033915319378,0.9802033915319378
Pressure_std,moriInnerCurrent_mean,-0.9801124100855636,0.9801124100855636
